seed,held_out_category,variant,n_train,n_val,n_held_out,condition_accuracy,tau_amb,tau_dis,tau_default,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,Age,ours_single_tau,6684,1180,1000,0.94,,,0.325,1000,500,500,0.798,0.752,0.7425742574257426,0.0948905109489051,0.178,0.0
42,Age,ours_per_condition_oracle,6684,1180,1000,0.94,0.95,0.05,,1000,500,500,0.978,0.83,0.8181818181818181,0.09649122807017552,0.088,0.0
42,Age,ours_predicted_condition,6684,1180,1000,0.94,0.95,0.05,0.5,1000,500,500,0.974,0.792,0.6923076923076923,0.09601873536299776,0.146,0.0
42,Disability_status,ours_single_tau,6684,1180,1000,0.938,,,0.425,1000,500,500,0.778,0.764,0.3153153153153154,0.05612244897959173,0.216,0.0
42,Disability_status,ours_per_condition_oracle,6684,1180,1000,0.938,0.95,0.05,,1000,500,500,0.964,0.866,-0.11111111111111116,0.033557046979865834,0.106,0.0
42,Disability_status,ours_predicted_condition,6684,1180,1000,0.938,0.95,0.05,0.5,1000,500,500,0.964,0.814,-0.11111111111111116,0.06190476190476191,0.16,0.0
42,Gender_identity,ours_single_tau,6684,1180,1000,0.933,,,0.525,1000,500,500,0.898,0.764,0.37254901960784315,0.01941747572815533,0.176,0.0
42,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.933,0.925,0.05,,1000,500,500,0.964,0.848,0.33333333333333326,0.021739130434782705,0.08,0.0
42,Gender_identity,ours_predicted_condition,6684,1180,1000,0.933,0.925,0.05,0.5,1000,500,500,0.952,0.79,0.5,0.0023529411764706687,0.15,0.0
42,Nationality,ours_single_tau,6684,1180,1000,0.877,,,0.525,1000,500,500,0.794,0.89,-0.18446601941747576,-0.03083700440528636,0.092,0.0
42,Nationality,ours_per_condition_oracle,6684,1180,1000,0.877,0.95,0.05,,1000,500,500,0.898,0.92,-0.5294117647058824,-0.004255319148936176,0.06,0.0
42,Nationality,ours_predicted_condition,6684,1180,1000,0.877,0.95,0.05,0.5,1000,500,500,0.848,0.906,-0.26315789473684215,-0.010799136069114423,0.074,0.0
42,Physical_appearance,ours_single_tau,6684,1180,1000,0.876,,,0.5,1000,500,500,0.868,0.608,0.8181818181818181,0.09248554913294793,0.308,0.0
42,Physical_appearance,ours_per_condition_oracle,6684,1180,1000,0.876,0.875,0.05,,1000,500,500,0.968,0.716,0.875,0.09927360774818395,0.174,0.0
42,Physical_appearance,ours_predicted_condition,6684,1180,1000,0.876,0.875,0.05,0.5,1000,500,500,0.882,0.7,0.9322033898305084,0.0990099009900991,0.192,0.0
42,Race_ethnicity,ours_single_tau,6684,1180,1000,0.913,,,0.275,1000,500,500,0.844,0.934,-0.02564102564102566,0.01467505241090139,0.046,0.0
42,Race_ethnicity,ours_per_condition_oracle,6684,1180,1000,0.913,0.95,0.05,,1000,500,500,0.972,0.948,-0.1428571428571429,0.020576131687242816,0.028,0.0
42,Race_ethnicity,ours_predicted_condition,6684,1180,1000,0.913,0.95,0.05,0.5,1000,500,500,0.936,0.932,0.3125,0.02092050209205021,0.044,0.0
42,Religion,ours_single_tau,6684,1180,1000,0.94,,,0.3,1000,500,500,0.872,0.768,0.375,0.07981220657277,0.148,0.0
42,Religion,ours_per_condition_oracle,6684,1180,1000,0.94,0.95,0.05,,1000,500,500,0.938,0.796,0.7419354838709677,0.08968609865470856,0.108,0.0
42,Religion,ours_predicted_condition,6684,1180,1000,0.94,0.95,0.05,0.5,1000,500,500,0.926,0.784,0.6216216216216217,0.08009153318077811,0.126,0.0
42,SES,ours_single_tau,6684,1180,1000,0.965,,,0.2,1000,500,500,0.904,0.894,0.5416666666666667,0.04194260485651213,0.094,0.0
42,SES,ours_per_condition_oracle,6684,1180,1000,0.965,0.95,0.05,,1000,500,500,0.988,0.93,1.0,0.05307855626326963,0.058,0.0
42,SES,ours_predicted_condition,6684,1180,1000,0.965,0.95,0.05,0.5,1000,500,500,0.988,0.908,1.0,0.07625272331154687,0.082,0.0
42,Sexual_orientation,ours_single_tau,6800,1200,864,0.9212962962962963,,,0.325,864,432,432,0.8055555555555556,0.8125,0.16666666666666674,-0.008130081300813052,0.14583333333333334,0.0
42,Sexual_orientation,ours_per_condition_oracle,6800,1200,864,0.9212962962962963,0.95,0.05,,864,432,432,0.9189814814814815,0.8564814814814815,0.08571428571428563,-0.007712082262210762,0.09953703703703703,0.0
42,Sexual_orientation,ours_predicted_condition,6800,1200,864,0.9212962962962963,0.95,0.05,0.5,864,432,432,0.8842592592592593,0.8564814814814815,0.15999999999999992,-0.007712082262210762,0.09953703703703703,0.0
123,Age,ours_single_tau,6684,1180,1000,0.943,,,0.25,1000,500,500,0.714,0.82,0.7342657342657342,0.08609271523178808,0.094,0.0
123,Age,ours_per_condition_oracle,6684,1180,1000,0.943,0.925,0.05,,1000,500,500,0.898,0.846,0.8823529411764706,0.08974358974358965,0.064,0.0
123,Age,ours_predicted_condition,6684,1180,1000,0.943,0.925,0.05,0.5,1000,500,500,0.884,0.806,0.8620689655172413,0.10407239819004532,0.116,0.0
123,Disability_status,ours_single_tau,6684,1180,1000,0.929,,,0.575,1000,500,500,0.804,0.776,0.24489795918367352,0.07035175879396993,0.204,0.0
123,Disability_status,ours_per_condition_oracle,6684,1180,1000,0.929,0.925,0.05,,1000,500,500,0.938,0.87,0.09677419354838701,0.040000000000000036,0.1,0.0
123,Disability_status,ours_predicted_condition,6684,1180,1000,0.929,0.925,0.05,0.5,1000,500,500,0.938,0.816,0.09677419354838701,0.056872037914691864,0.156,0.0
123,Gender_identity,ours_single_tau,6684,1180,1000,0.944,,,0.525,1000,500,500,0.85,0.786,0.43999999999999995,0.007092198581560183,0.154,0.0
123,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.944,0.95,0.05,,1000,500,500,0.94,0.854,0.2666666666666666,0.023758099352051865,0.074,0.0
123,Gender_identity,ours_predicted_condition,6684,1180,1000,0.944,0.95,0.05,0.5,1000,500,500,0.938,0.806,0.29032258064516125,0.006928406466512715,0.134,0.0
123,Nationality,ours_single_tau,6684,1180,1000,0.881,,,0.325,1000,500,500,0.722,0.944,-0.05035971223021585,-0.012448132780082943,0.036,0.0
123,Nationality,ours_per_condition_oracle,6684,1180,1000,0.881,0.925,0.05,,1000,500,500,0.856,0.944,-0.5,-0.012448132780082943,0.036,0.0
