seed,signal,delta_accuracy_amb,delta_accuracy_dis,delta_false_abstention_rate,delta_bias_abs_amb,masked_accuracy_amb,masked_accuracy_dis,masked_false_abstention_rate
42,s1_evidence,0.0015060240963854499,0.0015060240963854499,-0.0015060240963855331,0.0,0.9954819277108434,0.8704819277108434,0.09337349397590361
42,s2_counterfactual,-0.001506024096385561,0.0015060240963854499,0.003012048192771094,0.0,0.9984939759036144,0.8704819277108434,0.08885542168674698
42,s3_confidence,-0.001506024096385561,0.004518072289156572,-0.00301204819277108,0.0,0.9984939759036144,0.8674698795180723,0.09487951807228916
42,s4_consistency,0.0030120481927710108,0.0030120481927710108,-0.0015060240963855331,-0.5,0.9939759036144579,0.8689759036144579,0.09337349397590361
42,s5_bias_head,-0.003012048192771122,-0.001506024096385561,0.0,,1.0,0.8734939759036144,0.09186746987951808
42,s6_prompt_sensitivity,-0.001506024096385561,-0.006024096385542244,0.010542168674698801,0.0,0.9984939759036144,0.8780120481927711,0.08132530120481928
42,s7_sae_feature,-0.003012048192771122,0.004518072289156572,-0.007530120481927707,,1.0,0.8674698795180723,0.09939759036144578
123,s1_evidence,0.0,0.0,0.001506024096385547,,1.0,0.8810240963855421,0.0677710843373494
123,s2_counterfactual,0.0,0.001506024096385561,0.001506024096385547,,1.0,0.8795180722891566,0.0677710843373494
123,s3_confidence,0.0,0.001506024096385561,0.0,,1.0,0.8795180722891566,0.06927710843373494
123,s4_consistency,0.0,0.0,-0.001506024096385547,,1.0,0.8810240963855421,0.07078313253012049
123,s5_bias_head,0.0,0.0,0.0,,1.0,0.8810240963855421,0.06927710843373494
123,s6_prompt_sensitivity,0.004518072289156572,0.0,0.0,,0.9954819277108434,0.8810240963855421,0.06927710843373494
123,s7_sae_feature,0.0,0.0,0.001506024096385547,,1.0,0.8810240963855421,0.0677710843373494
456,s1_evidence,-0.001506024096385561,0.0,0.0,,1.0,0.8719879518072289,0.07078313253012049
456,s2_counterfactual,-0.001506024096385561,0.0,0.0,,1.0,0.8719879518072289,0.07078313253012049
456,s3_confidence,-0.001506024096385561,0.0,0.001506024096385547,,1.0,0.8719879518072289,0.06927710843373494
456,s4_consistency,-0.001506024096385561,-0.001506024096385561,0.001506024096385547,,1.0,0.8734939759036144,0.06927710843373494
456,s5_bias_head,-0.001506024096385561,0.0,0.0,,1.0,0.8719879518072289,0.07078313253012049
456,s6_prompt_sensitivity,0.001506024096385561,0.0,0.001506024096385547,-1.0,0.9969879518072289,0.8719879518072289,0.06927710843373494
456,s7_sae_feature,0.0,0.0,0.0,0.0,0.9984939759036144,0.8719879518072289,0.07078313253012049
789,s1_evidence,-0.001506024096385561,0.0,0.00301204819277108,-0.04761904761904745,0.9909638554216867,0.8855421686746988,0.08132530120481928
789,s2_counterfactual,-0.001506024096385561,0.0,0.00602409638554216,-0.38095238095238093,0.9909638554216867,0.8855421686746988,0.0783132530120482
789,s3_confidence,-0.004518072289156683,-0.001506024096385561,0.007530120481927707,-0.2142857142857142,0.9939759036144579,0.8870481927710844,0.07680722891566265
789,s4_consistency,-0.001506024096385561,-0.0030120481927710108,0.010542168674698787,-0.04761904761904745,0.9909638554216867,0.8885542168674698,0.07379518072289157
789,s5_bias_head,-0.003012048192771122,-0.001506024096385561,0.004518072289156627,-0.1142857142857141,0.9924698795180723,0.8870481927710844,0.07981927710843373
789,s6_prompt_sensitivity,0.001506024096385561,-0.0030120481927710108,0.012048192771084335,-0.4642857142857142,0.9879518072289156,0.8885542168674698,0.07228915662650602
789,s7_sae_feature,0.0,0.001506024096385561,0.0015060240963855331,-0.2857142857142856,0.9894578313253012,0.8840361445783133,0.08283132530120482
999,s1_evidence,-0.006024096385542244,-0.010542168674698704,0.015060240963855415,1.0,0.9939759036144579,0.8719879518072289,0.08734939759036145
999,s2_counterfactual,-0.001506024096385561,0.004518072289156683,-0.004518072289156627,0.1428571428571428,0.9894578313253012,0.8569277108433735,0.10692771084337349
999,s3_confidence,0.0015060240963854499,-0.004518072289156572,0.00602409638554216,0.11111111111111116,0.9864457831325302,0.8659638554216867,0.0963855421686747
999,s4_consistency,-0.001506024096385561,-0.0060240963855421326,0.007530120481927707,0.4285714285714286,0.9894578313253012,0.8674698795180723,0.09487951807228916
999,s5_bias_head,0.0015060240963854499,-0.0015060240963854499,0.0,0.11111111111111116,0.9864457831325302,0.8629518072289156,0.10240963855421686
999,s6_prompt_sensitivity,-0.001506024096385561,-0.010542168674698704,0.019578313253012042,0.1428571428571429,0.9894578313253012,0.8719879518072289,0.08283132530120482
999,s7_sae_feature,-0.004518072289156683,-0.009036144578313254,0.012048192771084335,0.19999999999999996,0.9924698795180723,0.8704819277108434,0.09036144578313253
