seed,system,subset,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,ours_single_tau,full_test,1328,664,664,0.9292168674698795,0.8478915662650602,0.1063829787234043,0.0726643598615917,0.12951807228915663,0.0
42,ours_per_condition_oracle,full_test,1328,664,664,0.9984939759036144,0.8704819277108434,-1.0,0.07973421926910307,0.09337349397590361,0.0
42,ours_predicted_condition,full_test,1328,664,664,0.9984939759036144,0.8689759036144579,-1.0,0.0782029950083194,0.09487951807228916,0.0
42,composite,shared_test,1328,664,664,0.6957831325301205,0.286144578313253,0.12307692307692308,-0.002666666666666706,0.2183734939759036,0.16265060240963855
42,self_debiasing,shared_test,199,100,99,0.97,0.1111111111111111,0.33333333333333326,0.0,0.8585858585858586,0.0
42,decap,shared_test,1328,664,664,0.8102409638554217,0.7183734939759037,0.4444444444444444,0.08000000000000007,0.2469879518072289,0.0
42,fairsteer,shared_test,20,11,9,0.7272727272727273,0.8888888888888888,1.0,0.25,0.1111111111111111,0.0
123,ours_single_tau,full_test,1328,664,664,0.9457831325301205,0.8478915662650602,0.33333333333333326,0.020477815699658786,0.11746987951807229,0.0
123,ours_per_condition_oracle,full_test,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0
123,ours_predicted_condition,full_test,1328,664,664,1.0,0.8795180722891566,,0.030694668820678617,0.0677710843373494,0.0
123,composite,shared_test,1328,664,664,0.6987951807228916,0.28313253012048195,-0.006993006993006978,0.04494382022471921,0.24548192771084337,0.15210843373493976
123,self_debiasing,shared_test,188,95,93,0.9473684210526315,0.1827956989247312,-0.19999999999999996,0.04761904761904767,0.7741935483870968,0.0
123,decap,shared_test,1328,664,664,0.8042168674698795,0.7183734939759037,0.49230769230769234,0.047808764940239,0.24397590361445784,0.0
123,fairsteer,shared_test,17,7,10,0.5714285714285714,0.8,1.0,0.0,0.2,0.0
456,ours_single_tau,full_test,1328,664,664,0.9578313253012049,0.8478915662650602,0.0714285714285714,0.044520547945205546,0.12048192771084337,0.0
456,ours_per_condition_oracle,full_test,1328,664,664,0.9954819277108434,0.8719879518072289,-1.0,0.0453074433656957,0.06927710843373494,0.0
456,ours_predicted_condition,full_test,1328,664,664,0.9954819277108434,0.8719879518072289,-1.0,0.0453074433656957,0.06927710843373494,0.0
456,composite,shared_test,1328,664,664,0.6671686746987951,0.28313253012048195,0.11538461538461542,-0.013850415512465353,0.25,0.15210843373493976
456,self_debiasing,shared_test,180,94,86,0.9361702127659575,0.20930232558139536,0.0,-0.33333333333333337,0.7906976744186046,0.0
456,decap,shared_test,1328,664,664,0.7966867469879518,0.7243975903614458,0.3925925925925926,0.07753479125248508,0.24246987951807228,0.0
456,fairsteer,shared_test,14,7,7,0.7142857142857143,0.7142857142857143,1.0,-0.19999999999999996,0.2857142857142857,0.0
789,ours_single_tau,full_test,1328,664,664,0.9533132530120482,0.8539156626506024,0.22580645161290325,0.003424657534246478,0.12048192771084337,0.0
789,ours_per_condition_oracle,full_test,1328,664,664,0.9924698795180723,0.8870481927710844,1.0,0.011419249592169667,0.07680722891566265,0.0
789,ours_predicted_condition,full_test,1328,664,664,0.9924698795180723,0.8870481927710844,1.0,0.011419249592169667,0.07680722891566265,0.0
789,composite,shared_test,1328,664,664,0.6731927710843374,0.27259036144578314,0.15068493150684925,0.032608695652173836,0.2635542168674699,0.14457831325301204
789,self_debiasing,shared_test,184,82,102,0.975609756097561,0.20588235294117646,1.0,0.04347826086956519,0.7745098039215687,0.0
789,decap,shared_test,1328,664,664,0.8087349397590361,0.7364457831325302,0.44881889763779537,0.0038910505836575737,0.22590361445783133,0.0
789,fairsteer,shared_test,13,8,5,0.5,1.0,1.0,-0.19999999999999996,0.0,0.0
999,ours_single_tau,full_test,1328,664,664,0.9608433734939759,0.8087349397590361,0.0,0.06569343065693434,0.1746987951807229,0.0
999,ours_per_condition_oracle,full_test,1328,664,664,0.9864457831325302,0.858433734939759,-0.33333333333333337,0.06621392190152808,0.11295180722891567,0.0
999,ours_predicted_condition,full_test,1328,664,664,0.9864457831325302,0.858433734939759,-0.33333333333333337,0.06621392190152808,0.11295180722891567,0.0
999,composite,shared_test,1328,664,664,0.6867469879518072,0.30271084337349397,0.006802721088435382,-0.03542234332425065,0.2469879518072289,0.1460843373493976
999,self_debiasing,shared_test,185,98,87,0.9489795918367347,0.16091954022988506,0.6000000000000001,0.375,0.8160919540229885,0.0
999,decap,shared_test,1328,664,664,0.8087349397590361,0.7213855421686747,0.3700787401574803,0.10040160642570273,0.25,0.0
999,fairsteer,shared_test,10,6,4,0.5,0.75,1.0,-0.5,0.0,0.0
