seed,system,subset,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,ours_single_tau,full_test,1328,664,664,0.9397590361445783,0.8418674698795181,0.30000000000000004,0.07504363001745196,0.13704819277108435,0.0
42,ours_per_condition_oracle,full_test,1328,664,664,0.9984939759036144,0.8734939759036144,1.0,0.06446280991735542,0.08885542168674698,0.0
42,ours_predicted_condition,full_test,1328,664,664,0.9984939759036144,0.8719879518072289,1.0,0.0662251655629138,0.09036144578313253,0.0
42,composite,shared_test,1328,664,664,0.6957831325301205,0.286144578313253,0.06153846153846154,0.06133333333333324,0.2183734939759036,0.16265060240963855
42,self_debiasing,shared_test,1328,664,664,0.9668674698795181,0.1822289156626506,0.36363636363636354,0.07246376811594213,0.7921686746987951,0.0
42,decap,shared_test,1328,664,664,0.8102409638554217,0.7183734939759037,0.4444444444444444,0.08400000000000007,0.2469879518072289,0.0
42,fairsteer,shared_test,1279,643,636,0.8506998444790047,0.7389937106918238,0.5208333333333333,0.08041237113402055,0.23742138364779874,0.0
42,mpt,shared_test,191,96,95,0.3333333333333333,0.3263157894736842,0.09375,0.11764705882352944,0.28421052631578947,0.0
123,ours_single_tau,full_test,1328,664,664,0.9563253012048193,0.838855421686747,0.24137931034482762,0.06759098786828432,0.13102409638554216,0.0
123,ours_per_condition_oracle,full_test,1328,664,664,1.0,0.8810240963855421,,0.0741935483870968,0.06626506024096386,0.0
123,ours_predicted_condition,full_test,1328,664,664,0.9984939759036144,0.8810240963855421,-1.0,0.0741935483870968,0.06626506024096386,0.0
123,composite,shared_test,1328,664,664,0.6987951807228916,0.28313253012048195,0.020979020979021046,0.1123595505617978,0.24548192771084337,0.15210843373493976
123,self_debiasing,shared_test,1328,664,664,0.963855421686747,0.19728915662650603,0.25,0.11888111888111896,0.7846385542168675,0.0
123,decap,shared_test,1328,664,664,0.8042168674698795,0.7183734939759037,0.5538461538461539,0.11155378486055767,0.24397590361445784,0.0
123,fairsteer,shared_test,1285,641,644,0.859594383775351,0.7142857142857143,0.6666666666666667,0.09663865546218497,0.2608695652173913,0.0
123,mpt,shared_test,202,102,100,0.3431372549019608,0.29,0.07462686567164178,0.09677419354838701,0.38,0.0
456,ours_single_tau,full_test,1328,664,664,0.9623493975903614,0.8373493975903614,0.3600000000000001,0.08145580589254764,0.13102409638554216,0.0
456,ours_per_condition_oracle,full_test,1328,664,664,1.0,0.8719879518072289,,0.08116883116883122,0.07228915662650602,0.0
456,ours_predicted_condition,full_test,1328,664,664,1.0,0.8719879518072289,,0.08116883116883122,0.07228915662650602,0.0
456,composite,shared_test,1328,664,664,0.6671686746987951,0.28313253012048195,0.07692307692307687,0.024930747922437657,0.25,0.15210843373493976
456,self_debiasing,shared_test,1328,664,664,0.9608433734939759,0.20933734939759036,0.07692307692307687,-0.026666666666666616,0.7740963855421686,0.0
456,decap,shared_test,1328,664,664,0.7966867469879518,0.7243975903614458,0.4814814814814814,0.1093439363817097,0.24246987951807228,0.0
456,fairsteer,shared_test,1292,644,648,0.8416149068322981,0.7067901234567902,0.5294117647058822,0.13080168776371304,0.26851851851851855,0.0
456,mpt,shared_test,196,105,91,0.3238095238095238,0.34065934065934067,0.15492957746478875,-0.14814814814814814,0.4065934065934066,0.0
789,ours_single_tau,full_test,1328,664,664,0.9578313253012049,0.8493975903614458,0.5,-0.005145797598627766,0.12198795180722892,0.0
789,ours_per_condition_oracle,full_test,1328,664,664,0.9909638554216867,0.8885542168674698,1.0,0.004893964110929794,0.07680722891566265,0.0
789,ours_predicted_condition,full_test,1328,664,664,0.9864457831325302,0.8885542168674698,0.7777777777777777,0.004893964110929794,0.07680722891566265,0.0
789,composite,shared_test,1328,664,664,0.6731927710843374,0.27259036144578314,0.09589041095890405,0.059782608695652106,0.2635542168674699,0.14457831325301204
789,self_debiasing,shared_test,1328,664,664,0.9518072289156626,0.18373493975903615,0.1875,0.07352941176470584,0.7951807228915663,0.0
789,decap,shared_test,1328,664,664,0.8087349397590361,0.7364457831325302,0.5118110236220472,-0.0038910505836575737,0.22590361445783133,0.0
789,fairsteer,shared_test,1288,641,647,0.8486739469578783,0.723338485316847,0.6082474226804124,0.039665970772442494,0.2596599690880989,0.0
789,mpt,shared_test,212,101,111,0.2079207920792079,0.36936936936936937,0.19999999999999996,-0.03703703703703709,0.2702702702702703,0.0
999,ours_single_tau,full_test,1328,664,664,0.9337349397590361,0.8403614457831325,0.2272727272727273,0.042105263157894646,0.14156626506024098,0.0
999,ours_per_condition_oracle,full_test,1328,664,664,0.9864457831325302,0.8629518072289156,0.11111111111111116,0.047138047138047146,0.10542168674698796,0.0
999,ours_predicted_condition,full_test,1328,664,664,0.9849397590361446,0.8629518072289156,0.19999999999999996,0.047138047138047146,0.10542168674698796,0.0
999,composite,shared_test,1328,664,664,0.6867469879518072,0.30271084337349397,0.0748299319727892,-0.05722070844686644,0.2469879518072289,0.1460843373493976
999,self_debiasing,shared_test,1328,664,664,0.9487951807228916,0.19126506024096385,0.17647058823529416,0.125,0.7831325301204819,0.0
999,decap,shared_test,1328,664,664,0.8087349397590361,0.7213855421686747,0.32283464566929143,0.0763052208835342,0.25,0.0
999,fairsteer,shared_test,1285,646,639,0.8560371517027864,0.7089201877934272,0.4408602150537635,0.100642398286938,0.26917057902973396,0.0
999,mpt,shared_test,181,90,91,0.36666666666666664,0.31868131868131866,-0.1578947368421053,-0.016949152542372836,0.3516483516483517,0.0
