scope,seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,condition_accuracy,conf_threshold,tau_risk
clean,42,primary_answer,1328,664,664,0.5617469879518072,0.8780120481927711,0.3264604810996563,0.0783132530120482,,,
clean,42,simple_condition_only,1328,664,664,1.0,0.8765060240963856,,0.07981927710843373,0.9969879518072289,,
clean,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9954819277108434,0.8780120481927711,0.33333333333333326,0.07981927710843373,0.9969879518072289,0.9,0.025
clean,42,seven_signal_moe_predicted,1328,664,664,1.0,0.8765060240963856,,0.07981927710843373,,,
clean,123,primary_answer,1328,664,664,0.5843373493975904,0.8825301204819277,0.42028985507246386,0.06475903614457831,,,
clean,123,simple_condition_only,1328,664,664,1.0,0.8810240963855421,,0.06626506024096386,0.9977409638554217,,
clean,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9969879518072289,0.8825301204819277,-1.0,0.06475903614457831,0.9977409638554217,0.9,0.125
clean,123,seven_signal_moe_predicted,1328,664,664,1.0,0.8810240963855421,,0.06626506024096386,,,
clean,456,primary_answer,1328,664,664,0.5481927710843374,0.8734939759036144,0.41333333333333333,0.0677710843373494,,,
clean,456,simple_condition_only,1328,664,664,1.0,0.8734939759036144,,0.0677710843373494,0.9984939759036144,,
clean,456,hybrid_uncertain_signal_fallback,1328,664,664,1.0,0.8734939759036144,,0.0677710843373494,0.9984939759036144,0.5,0.0
clean,456,seven_signal_moe_predicted,1328,664,664,1.0,0.8734939759036144,,0.0677710843373494,,,
clean,789,primary_answer,1328,664,664,0.5466867469879518,0.891566265060241,0.3687707641196014,0.0677710843373494,,,
clean,789,simple_condition_only,1328,664,664,1.0,0.8900602409638554,,0.06927710843373494,0.9984939759036144,,
clean,789,hybrid_uncertain_signal_fallback,1328,664,664,1.0,0.8900602409638554,,0.06927710843373494,0.9984939759036144,0.5,0.0
clean,789,seven_signal_moe_predicted,1328,664,664,0.9924698795180723,0.891566265060241,1.0,0.0677710843373494,,,
clean,999,primary_answer,1328,664,664,0.5572289156626506,0.8734939759036144,0.33333333333333326,0.07981927710843373,,,
clean,999,simple_condition_only,1328,664,664,1.0,0.8734939759036144,,0.07981927710843373,1.0,,
clean,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9969879518072289,0.8734939759036144,1.0,0.07981927710843373,1.0,0.8,0.075
clean,999,seven_signal_moe_predicted,1328,664,664,1.0,0.8734939759036144,,0.07981927710843373,,,
