scope,seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed,condition_accuracy,conf_threshold,tau_risk
loco,42,simple_condition_only,1000,500,500,0.976,0.818,0.6666666666666667,0.11,Age,1051,0.94,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.972,0.838,0.7142857142857142,0.084,Age,1051,0.94,0.75,0.25
loco,42,seven_signal_moe_predicted,1000,500,500,0.95,0.828,0.8400000000000001,0.094,Age,1051,,,
loco,42,simple_condition_only,1000,500,500,1.0,0.784,,0.188,Disability_status,2060,0.938,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,1.0,0.784,,0.188,Disability_status,2060,0.938,0.5,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.964,0.828,-0.11111111111111116,0.144,Disability_status,2060,,,
loco,42,simple_condition_only,1000,500,500,0.986,0.778,1.0,0.164,Gender_identity,3069,0.933,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.986,0.778,1.0,0.164,Gender_identity,3069,0.933,0.5,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.986,0.778,1.0,0.164,Gender_identity,3069,,,
loco,42,simple_condition_only,1000,500,500,0.872,0.874,-0.21875,0.108,Nationality,4078,0.877,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.864,0.894,-0.20588235294117652,0.086,Nationality,4078,0.877,0.7,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.872,0.874,-0.21875,0.108,Nationality,4078,,,
loco,42,simple_condition_only,1000,500,500,0.888,0.67,0.9285714285714286,0.22,Physical_appearance,5087,0.876,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.888,0.67,0.9285714285714286,0.22,Physical_appearance,5087,0.876,0.5,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.88,0.706,0.9333333333333333,0.184,Physical_appearance,5087,,,
loco,42,simple_condition_only,1000,500,500,0.954,0.936,0.6521739130434783,0.038,Race_ethnicity,6096,0.913,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.954,0.936,0.6521739130434783,0.038,Race_ethnicity,6096,0.913,0.5,0.0
loco,42,seven_signal_moe_predicted,1000,500,500,0.954,0.936,0.6521739130434783,0.038,Race_ethnicity,6096,,,
loco,42,simple_condition_only,1000,500,500,0.982,0.782,0.11111111111111116,0.124,Religion,7105,0.94,,
loco,42,hybrid_uncertain_signal_fallback,1000,500,500,0.974,0.79,0.3846153846153846,0.112,Religion,7105,0.94,0.8,0.0
