scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
clean_uncertain_subset,42,0.55,primary_answer,1,1,0,0.0,0.0,1.0,0.0,,
clean_uncertain_subset,42,0.55,simple_condition_only,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,1,1,0,0.0,0.0,1.0,0.0,,
clean_uncertain_subset,42,0.55,seven_signal_moe_predicted,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,42,0.6,primary_answer,3,2,1,0.5,1.0,1.0,0.0,,
clean_uncertain_subset,42,0.6,simple_condition_only,3,2,1,1.0,1.0,,0.0,,
clean_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,3,2,1,0.5,1.0,1.0,0.0,,
clean_uncertain_subset,42,0.6,seven_signal_moe_predicted,3,2,1,1.0,1.0,,0.0,,
clean_uncertain_subset,42,0.7,primary_answer,5,3,2,0.6666666666666666,1.0,1.0,0.0,,
clean_uncertain_subset,42,0.7,simple_condition_only,5,3,2,1.0,1.0,,0.0,,
clean_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,5,3,2,0.6666666666666666,1.0,1.0,0.0,,
clean_uncertain_subset,42,0.7,seven_signal_moe_predicted,5,3,2,1.0,1.0,,0.0,,
clean_uncertain_subset,42,0.8,primary_answer,10,3,7,0.6666666666666666,0.8571428571428571,1.0,0.0,,
clean_uncertain_subset,42,0.8,simple_condition_only,10,3,7,1.0,0.7142857142857143,,0.14285714285714285,,
clean_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,10,3,7,0.6666666666666666,0.8571428571428571,1.0,0.14285714285714285,,
clean_uncertain_subset,42,0.8,seven_signal_moe_predicted,10,3,7,1.0,0.7142857142857143,,0.14285714285714285,,
clean_uncertain_subset,42,0.9,primary_answer,20,7,13,0.5714285714285714,0.8461538461538461,0.33333333333333326,0.07692307692307693,,
clean_uncertain_subset,42,0.9,simple_condition_only,20,7,13,1.0,0.7692307692307693,,0.15384615384615385,,
clean_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,20,7,13,0.5714285714285714,0.8461538461538461,0.33333333333333326,0.15384615384615385,,
clean_uncertain_subset,42,0.9,seven_signal_moe_predicted,20,7,13,1.0,0.7692307692307693,,0.15384615384615385,,
clean_uncertain_subset,123,0.55,primary_answer,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.55,simple_condition_only,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.55,hybrid_uncertain_signal_fallback,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.55,seven_signal_moe_predicted,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.6,primary_answer,2,0,2,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.6,simple_condition_only,2,0,2,0.0,0.5,,0.5,,
clean_uncertain_subset,123,0.6,hybrid_uncertain_signal_fallback,2,0,2,0.0,1.0,,0.0,,
clean_uncertain_subset,123,0.6,seven_signal_moe_predicted,2,0,2,0.0,0.5,,0.5,,
clean_uncertain_subset,123,0.7,primary_answer,4,2,2,0.5,1.0,-1.0,0.0,,
clean_uncertain_subset,123,0.7,simple_condition_only,4,2,2,1.0,0.5,,0.5,,
clean_uncertain_subset,123,0.7,hybrid_uncertain_signal_fallback,4,2,2,0.5,1.0,-1.0,0.0,,
clean_uncertain_subset,123,0.7,seven_signal_moe_predicted,4,2,2,1.0,0.5,,0.5,,
clean_uncertain_subset,123,0.8,primary_answer,6,3,3,0.6666666666666666,1.0,-1.0,0.0,,
clean_uncertain_subset,123,0.8,simple_condition_only,6,3,3,1.0,0.6666666666666666,,0.3333333333333333,,
clean_uncertain_subset,123,0.8,hybrid_uncertain_signal_fallback,6,3,3,0.6666666666666666,1.0,-1.0,0.0,,
clean_uncertain_subset,123,0.8,seven_signal_moe_predicted,6,3,3,1.0,0.6666666666666666,,0.3333333333333333,,
clean_uncertain_subset,123,0.9,primary_answer,19,8,11,0.625,0.7272727272727273,-0.33333333333333337,0.09090909090909091,,
clean_uncertain_subset,123,0.9,simple_condition_only,19,8,11,1.0,0.6363636363636364,,0.18181818181818182,,
clean_uncertain_subset,123,0.9,hybrid_uncertain_signal_fallback,19,8,11,0.75,0.7272727272727273,-1.0,0.09090909090909091,,
clean_uncertain_subset,123,0.9,seven_signal_moe_predicted,19,8,11,1.0,0.6363636363636364,,0.18181818181818182,,
clean_uncertain_subset,456,0.55,primary_answer,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.55,simple_condition_only,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.55,hybrid_uncertain_signal_fallback,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.55,seven_signal_moe_predicted,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.6,primary_answer,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.6,simple_condition_only,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.6,hybrid_uncertain_signal_fallback,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.6,seven_signal_moe_predicted,1,0,1,0.0,1.0,,0.0,,
clean_uncertain_subset,456,0.7,primary_answer,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.7,simple_condition_only,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.7,hybrid_uncertain_signal_fallback,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.7,seven_signal_moe_predicted,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.8,primary_answer,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.8,simple_condition_only,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.8,hybrid_uncertain_signal_fallback,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
