seed,system,temperature,tau,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,chosen_softmax_threshold,1.0,0.76,1328,664,664,0.8614457831325302,0.7409638554216867,0.5652173913043479,0.09200000000000008,0.2469879518072289,0.0
42,max_softmax_threshold,1.0,0.76,1328,664,664,0.8614457831325302,0.7409638554216867,0.5652173913043479,0.09200000000000008,0.2469879518072289,0.0
42,unknown_probability_threshold,1.0,0.91,1328,664,664,0.8117469879518072,0.7560240963855421,0.3919999999999999,0.06407766990291264,0.22439759036144577,0.0
42,unknown_probability_temp_scaled,1.0,0.91,1328,664,664,0.8117469879518072,0.7560240963855421,0.3919999999999999,0.06407766990291264,0.22439759036144577,0.0
123,chosen_softmax_threshold,1.0,0.74,1328,664,664,0.8433734939759037,0.7530120481927711,0.6923076923076923,0.03937007874015741,0.23493975903614459,0.0
123,max_softmax_threshold,1.0,0.74,1328,664,664,0.8433734939759037,0.7530120481927711,0.6923076923076923,0.03937007874015741,0.23493975903614459,0.0
123,unknown_probability_threshold,1.0,0.9,1328,664,664,0.8162650602409639,0.7304216867469879,0.4918032786885247,0.027667984189723382,0.23795180722891565,0.0
123,unknown_probability_temp_scaled,1.0,0.9,1328,664,664,0.8162650602409639,0.7304216867469879,0.4918032786885247,0.027667984189723382,0.23795180722891565,0.0
456,chosen_softmax_threshold,1.0,0.73,1328,664,664,0.8283132530120482,0.7635542168674698,0.5964912280701755,0.058139534883721034,0.22289156626506024,0.0
456,max_softmax_threshold,1.0,0.73,1328,664,664,0.8283132530120482,0.7635542168674698,0.5964912280701755,0.058139534883721034,0.22289156626506024,0.0
456,unknown_probability_threshold,1.0,0.88,1328,664,664,0.7876506024096386,0.7786144578313253,0.4893617021276595,0.0542056074766355,0.19427710843373494,0.0
456,unknown_probability_temp_scaled,0.5,0.98,1328,664,664,0.7966867469879518,0.7725903614457831,0.5111111111111111,0.05283018867924527,0.20180722891566266,0.0
789,chosen_softmax_threshold,1.0,0.8,1328,664,664,0.8689759036144579,0.7304216867469879,0.6781609195402298,0.002044989775051187,0.2635542168674699,0.0
789,max_softmax_threshold,1.0,0.8,1328,664,664,0.8689759036144579,0.7304216867469879,0.6781609195402298,0.002044989775051187,0.2635542168674699,0.0
789,unknown_probability_threshold,1.0,0.91,1328,664,664,0.8132530120481928,0.7484939759036144,0.5,0.005893909626718985,0.23343373493975902,0.0
789,unknown_probability_temp_scaled,0.5,0.96,1328,664,664,0.7725903614457831,0.8042168674698795,0.45695364238410585,0.012704174228675091,0.17018072289156627,0.0
999,chosen_softmax_threshold,1.0,0.83,1328,664,664,0.8975903614457831,0.6927710843373494,0.6470588235294117,0.08779443254817987,0.29668674698795183,0.0
999,max_softmax_threshold,1.0,0.83,1328,664,664,0.8975903614457831,0.6927710843373494,0.6470588235294117,0.08779443254817987,0.29668674698795183,0.0
999,unknown_probability_threshold,1.0,0.84,1328,664,664,0.7469879518072289,0.7801204819277109,0.34523809523809534,0.08208955223880587,0.1927710843373494,0.0
999,unknown_probability_temp_scaled,0.5,0.99,1328,664,664,0.8313253012048193,0.7213855421686747,0.4642857142857142,0.07535641547861505,0.2605421686746988,0.0
