seed,system,feature_modes,tau,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,logistic_rejector_signals,signals,0.4,1328,664,664,0.8855421686746988,0.7319277108433735,0.5526315789473684,0.09456740442655942,0.25150602409638556,0.0
42,logistic_rejector_raw_text_embedding,embedding,0.44,1328,664,664,0.8975903614457831,0.8087349397590361,0.05882352941176472,0.07553956834532372,0.16265060240963855,0.0
42,logistic_rejector_signals_embedding,"signals,embedding",0.45,1328,664,664,0.9216867469879518,0.7756024096385542,0.3846153846153846,0.05927342256214141,0.21234939759036145,0.0
123,logistic_rejector_signals,signals,0.35,1328,664,664,0.8569277108433735,0.7575301204819277,0.5368421052631578,0.03488372093023262,0.22289156626506024,0.0
123,logistic_rejector_raw_text_embedding,embedding,0.46,1328,664,664,0.9141566265060241,0.7846385542168675,0.368421052631579,0.01098901098901095,0.17771084337349397,0.0
123,logistic_rejector_signals_embedding,"signals,embedding",0.44,1328,664,664,0.9292168674698795,0.7786144578313253,0.4042553191489362,0.02824858757062154,0.2003012048192771,0.0
456,logistic_rejector_signals,signals,0.36,1328,664,664,0.8509036144578314,0.7560240963855421,0.4747474747474747,0.07602339181286544,0.22740963855421686,0.0
456,logistic_rejector_raw_text_embedding,embedding,0.4,1328,664,664,0.8765060240963856,0.8087349397590361,0.3414634146341464,0.035335689045936425,0.14759036144578314,0.0
456,logistic_rejector_signals_embedding,"signals,embedding",0.36,1328,664,664,0.9081325301204819,0.802710843373494,0.3114754098360655,0.031192660550458662,0.17921686746987953,0.0
789,logistic_rejector_signals,signals,0.37,1328,664,664,0.8644578313253012,0.75,0.48888888888888893,0.03149606299212593,0.23493975903614459,0.0
789,logistic_rejector_raw_text_embedding,embedding,0.44,1328,664,664,0.9036144578313253,0.7951807228915663,0.3125,0.0036496350364962904,0.1746987951807229,0.0
789,logistic_rejector_signals_embedding,"signals,embedding",0.5,1328,664,664,0.9367469879518072,0.7545180722891566,0.5238095238095237,0.00974658869395717,0.22740963855421686,0.0
999,logistic_rejector_signals,signals,0.42,1328,664,664,0.8975903614457831,0.7078313253012049,0.41176470588235303,0.11111111111111116,0.2816265060240964,0.0
999,logistic_rejector_raw_text_embedding,embedding,0.53,1328,664,664,0.9216867469879518,0.7590361445783133,0.23076923076923084,0.07839388145315485,0.21234939759036145,0.0
999,logistic_rejector_signals_embedding,"signals,embedding",0.5,1328,664,664,0.9518072289156626,0.7530120481927711,0.0,0.09551656920077978,0.22740963855421686,0.0
