seed,category,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate,coverage,ambig_abstention,disambig_coverage
42,Physical_appearance,150,75,75,1.0,0.76,,0.3015873015873016,0.16,0.0,0.42000000000000004,1.0,0.84
42,Age,150,75,75,1.0,0.84,,0.3142857142857143,0.06666666666666667,0.0,0.4666666666666667,1.0,0.9333333333333333
42,Race_ethnicity,150,75,75,1.0,0.9733333333333334,,0.013698630136986356,0.02666666666666667,0.0,0.4866666666666667,1.0,0.9733333333333334
42,Disability_status,150,75,75,1.0,0.9066666666666666,,0.04347826086956519,0.08,0.0,0.45999999999999996,1.0,0.92
42,Gender_identity,150,75,75,1.0,0.8533333333333334,,0.10447761194029859,0.10666666666666667,0.0,0.44666666666666666,1.0,0.8933333333333333
42,Religion,150,75,75,1.0,0.7333333333333333,,0.014925373134328401,0.10666666666666667,0.0,0.44666666666666666,1.0,0.8933333333333333
42,Nationality,150,75,75,1.0,0.9733333333333334,,-0.013698630136986356,0.02666666666666667,0.0,0.4866666666666667,1.0,0.9733333333333334
42,Sexual_orientation,128,64,64,1.0,0.890625,,-0.1228070175438597,0.109375,0.0,0.4453125,1.0,0.890625
42,SES,150,75,75,1.0,0.96,,0.05555555555555558,0.04,0.0,0.48,1.0,0.96
123,Age,150,75,75,1.0,0.8533333333333334,,0.22222222222222232,0.04,0.0,0.48,1.0,0.96
123,Disability_status,150,75,75,1.0,0.8933333333333333,,-0.10144927536231885,0.08,0.0,0.45999999999999996,1.0,0.92
123,Physical_appearance,150,75,75,1.0,0.72,,0.06451612903225801,0.17333333333333334,0.0,0.41333333333333333,1.0,0.8266666666666667
123,Sexual_orientation,128,64,64,1.0,0.859375,,0.12280701754385959,0.109375,0.0,0.4453125,1.0,0.890625
123,SES,150,75,75,1.0,0.9866666666666667,,-0.013333333333333308,0.0,0.0,0.5,1.0,1.0
123,Nationality,150,75,75,1.0,0.96,,-0.027027027027026973,0.013333333333333334,0.0,0.4933333333333333,1.0,0.9866666666666667
123,Gender_identity,150,75,75,1.0,0.88,,0.0,0.06666666666666667,0.0,0.4666666666666667,1.0,0.9333333333333333
123,Religion,150,75,75,1.0,0.8133333333333334,,0.07246376811594213,0.08,0.0,0.45999999999999996,1.0,0.92
123,Race_ethnicity,150,75,75,1.0,0.96,,-0.05555555555555558,0.04,0.0,0.48,1.0,0.96
456,Nationality,150,75,75,1.0,0.9466666666666667,,0.054054054054053946,0.013333333333333334,0.0,0.4933333333333333,1.0,0.9866666666666667
456,Physical_appearance,150,75,75,1.0,0.7066666666666667,,-0.016393442622950838,0.18666666666666668,0.0,0.4066666666666666,1.0,0.8133333333333334
456,Religion,150,75,75,1.0,0.7866666666666666,,0.1384615384615384,0.13333333333333333,0.0,0.43333333333333335,1.0,0.8666666666666667
456,Race_ethnicity,150,75,75,1.0,0.9333333333333333,,-0.12328767123287676,0.02666666666666667,0.0,0.4866666666666667,1.0,0.9733333333333334
456,Age,150,75,75,1.0,0.9066666666666666,,0.13888888888888884,0.04,0.0,0.48,1.0,0.96
456,Sexual_orientation,128,64,64,1.0,0.859375,,0.1333333333333333,0.0625,0.0,0.46875,1.0,0.9375
456,Disability_status,150,75,75,1.0,0.8933333333333333,,0.0,0.09333333333333334,0.0,0.45333333333333337,1.0,0.9066666666666666
456,SES,150,75,75,1.0,0.92,,0.05555555555555558,0.04,0.0,0.48,1.0,0.96
456,Gender_identity,150,75,75,1.0,0.9066666666666666,,0.054054054054053946,0.013333333333333334,0.0,0.4933333333333333,1.0,0.9866666666666667
789,Race_ethnicity,150,75,75,1.0,0.9733333333333334,,-0.06849315068493156,0.02666666666666667,0.0,0.4866666666666667,1.0,0.9733333333333334
789,Sexual_orientation,128,64,64,1.0,0.9375,,-0.04761904761904767,0.015625,0.0,0.4921875,1.0,0.984375
789,Gender_identity,150,75,75,1.0,0.8533333333333334,,0.19999999999999996,0.06666666666666667,0.0,0.4666666666666667,1.0,0.9333333333333333
789,SES,150,75,75,1.0,0.9333333333333333,,-0.04225352112676062,0.05333333333333334,0.0,0.4733333333333334,1.0,0.9466666666666667
789,Disability_status,150,75,75,1.0,0.9066666666666666,,-0.01449275362318836,0.08,0.0,0.45999999999999996,1.0,0.92
789,Nationality,150,75,75,1.0,0.9333333333333333,,-0.13888888888888884,0.04,0.0,0.48,1.0,0.96
789,Physical_appearance,150,75,75,1.0,0.76,,0.11111111111111116,0.16,0.0,0.42000000000000004,1.0,0.84
789,Age,150,75,75,1.0,0.8933333333333333,,0.06849315068493156,0.02666666666666667,0.0,0.4866666666666667,1.0,0.9733333333333334
789,Religion,150,75,75,1.0,0.8266666666666667,,0.09375,0.14666666666666667,0.0,0.42666666666666664,1.0,0.8533333333333334
