seed,feature_set,mode,test_accuracy
42,signals+embedding+category+primary,"signals,embedding,category,primary",0.9969879518072289
123,signals+embedding+category+primary,"signals,embedding,category,primary",0.9977409638554217
456,signals+embedding+category+primary,"signals,embedding,category,primary",0.9984939759036144
789,signals+embedding+category+primary,"signals,embedding,category,primary",0.9984939759036144
999,signals+embedding+category+primary,"signals,embedding,category,primary",1.0
42,minus_primary,"signals,embedding,category",0.9962349397590361
123,minus_primary,"signals,embedding,category",0.9977409638554217
456,minus_primary,"signals,embedding,category",0.9984939759036144
789,minus_primary,"signals,embedding,category",0.9984939759036144
999,minus_primary,"signals,embedding,category",1.0
42,signals+embedding,"signals,embedding",0.9962349397590361
123,signals+embedding,"signals,embedding",0.9977409638554217
456,signals+embedding,"signals,embedding",0.9984939759036144
789,signals+embedding,"signals,embedding",0.9992469879518072
999,signals+embedding,"signals,embedding",0.9984939759036144
42,embedding_only,embedding,0.9924698795180723
123,embedding_only,embedding,0.9954819277108434
456,embedding_only,embedding,0.9984939759036144
789,embedding_only,embedding,0.9977409638554217
999,embedding_only,embedding,0.9962349397590361
42,signals_only,signals,0.8320783132530121
123,signals_only,signals,0.8335843373493976
456,signals_only,signals,0.8230421686746988
789,signals_only,signals,0.8335843373493976
999,signals_only,signals,0.8448795180722891
42,primary_only,primary,0.5534638554216867
123,primary_only,primary,0.5406626506024096
456,primary_only,primary,0.5346385542168675
789,primary_only,primary,0.5368975903614458
999,primary_only,primary,0.5542168674698795
42,category_only,category,0.5
123,category_only,category,0.5
456,category_only,category,0.5
789,category_only,category,0.5
999,category_only,category,0.5
