scope,transfer,seed,feature_set,modes,accuracy,n,confusion_matrix
english_bbq_to_kobbq,kobbq,42,signals+embedding+primary,"signals,embedding,primary",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,42,signals+embedding,"signals,embedding",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,42,embedding_only,embedding,0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,42,signals_only,signals,0.6523203592814372,2672,"[[929, 407], [522, 814]]"
english_bbq_to_kobbq,kobbq,42,primary_only,primary,0.3847305389221557,2672,"[[281, 1055], [589, 747]]"
english_bbq_to_kobbq,kobbq,42,category_only,category,0.5,2672,"[[1336, 0], [1336, 0]]"
english_bbq_to_kobbq,kobbq,123,signals+embedding+primary,"signals,embedding,primary",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,123,signals+embedding,"signals,embedding",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,123,embedding_only,embedding,0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,123,signals_only,signals,0.6515718562874252,2672,"[[921, 415], [516, 820]]"
english_bbq_to_kobbq,kobbq,123,primary_only,primary,0.3847305389221557,2672,"[[281, 1055], [589, 747]]"
english_bbq_to_kobbq,kobbq,123,category_only,category,0.5,2672,"[[1336, 0], [1336, 0]]"
english_bbq_to_kobbq,kobbq,456,signals+embedding+primary,"signals,embedding,primary",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,456,signals+embedding,"signals,embedding",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,456,embedding_only,embedding,0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,456,signals_only,signals,0.656062874251497,2672,"[[919, 417], [502, 834]]"
english_bbq_to_kobbq,kobbq,456,primary_only,primary,0.3847305389221557,2672,"[[281, 1055], [589, 747]]"
english_bbq_to_kobbq,kobbq,456,category_only,category,0.5,2672,"[[1336, 0], [1336, 0]]"
english_bbq_to_kobbq,kobbq,789,signals+embedding+primary,"signals,embedding,primary",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,789,signals+embedding,"signals,embedding",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,789,embedding_only,embedding,0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,789,signals_only,signals,0.6541916167664671,2672,"[[917, 419], [505, 831]]"
english_bbq_to_kobbq,kobbq,789,primary_only,primary,0.3847305389221557,2672,"[[281, 1055], [589, 747]]"
english_bbq_to_kobbq,kobbq,789,category_only,category,0.5,2672,"[[1336, 0], [1336, 0]]"
english_bbq_to_kobbq,kobbq,999,signals+embedding+primary,"signals,embedding,primary",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,999,signals+embedding,"signals,embedding",0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,999,embedding_only,embedding,0.5,2672,"[[0, 1336], [0, 1336]]"
english_bbq_to_kobbq,kobbq,999,signals_only,signals,0.6526946107784432,2672,"[[925, 411], [517, 819]]"
english_bbq_to_kobbq,kobbq,999,primary_only,primary,0.3847305389221557,2672,"[[281, 1055], [589, 747]]"
english_bbq_to_kobbq,kobbq,999,category_only,category,0.5,2672,"[[1336, 0], [1336, 0]]"
within_kobbq,kobbq,42,signals+embedding+primary,"signals,embedding,primary",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,42,signals+embedding,"signals,embedding",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,42,embedding_only,embedding,1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,42,signals_only,signals,0.6607142857142857,392,"[[120, 76], [57, 139]]"
within_kobbq,kobbq,42,primary_only,primary,0.7091836734693877,392,"[[124, 72], [42, 154]]"
within_kobbq,kobbq,42,category_only,category,0.5,392,"[[196, 0], [196, 0]]"
within_kobbq,kobbq,123,signals+embedding+primary,"signals,embedding,primary",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,123,signals+embedding,"signals,embedding",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,123,embedding_only,embedding,1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,123,signals_only,signals,0.6862244897959183,392,"[[132, 64], [59, 137]]"
within_kobbq,kobbq,123,primary_only,primary,0.7040816326530612,392,"[[120, 76], [40, 156]]"
within_kobbq,kobbq,123,category_only,category,0.5,392,"[[196, 0], [196, 0]]"
within_kobbq,kobbq,456,signals+embedding+primary,"signals,embedding,primary",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,456,signals+embedding,"signals,embedding",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,456,embedding_only,embedding,0.9974489795918368,392,"[[195, 1], [0, 196]]"
within_kobbq,kobbq,456,signals_only,signals,0.6938775510204082,392,"[[132, 64], [56, 140]]"
within_kobbq,kobbq,456,primary_only,primary,0.7321428571428571,392,"[[126, 70], [35, 161]]"
within_kobbq,kobbq,456,category_only,category,0.5,392,"[[196, 0], [196, 0]]"
within_kobbq,kobbq,789,signals+embedding+primary,"signals,embedding,primary",0.9974489795918368,392,"[[196, 0], [1, 195]]"
within_kobbq,kobbq,789,signals+embedding,"signals,embedding",0.9974489795918368,392,"[[196, 0], [1, 195]]"
within_kobbq,kobbq,789,embedding_only,embedding,0.9974489795918368,392,"[[196, 0], [1, 195]]"
within_kobbq,kobbq,789,signals_only,signals,0.6836734693877551,392,"[[128, 68], [56, 140]]"
within_kobbq,kobbq,789,primary_only,primary,0.701530612244898,392,"[[126, 70], [47, 149]]"
within_kobbq,kobbq,789,category_only,category,0.5,392,"[[196, 0], [196, 0]]"
within_kobbq,kobbq,999,signals+embedding+primary,"signals,embedding,primary",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,999,signals+embedding,"signals,embedding",1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,999,embedding_only,embedding,1.0,392,"[[196, 0], [0, 196]]"
within_kobbq,kobbq,999,signals_only,signals,0.6989795918367347,392,"[[136, 60], [58, 138]]"
