scope,transfer,feature_set,modes,accuracy_mean,accuracy_std,n,values
english_bbq_to_kobbq,kobbq,signals+embedding+primary,"signals,embedding,primary",0.5,0.0,2672,0.5000 0.5000 0.5000 0.5000 0.5000
english_bbq_to_kobbq,kobbq,signals+embedding,"signals,embedding",0.5,0.0,2672,0.5000 0.5000 0.5000 0.5000 0.5000
english_bbq_to_kobbq,kobbq,embedding_only,embedding,0.5,0.0,2672,0.5000 0.5000 0.5000 0.5000 0.5000
english_bbq_to_kobbq,kobbq,signals_only,signals,0.6533682634730539,0.001783103181073573,2672,0.6523 0.6516 0.6561 0.6542 0.6527
english_bbq_to_kobbq,kobbq,primary_only,primary,0.3847305389221557,0.0,2672,0.3847 0.3847 0.3847 0.3847 0.3847
english_bbq_to_kobbq,kobbq,category_only,category,0.5,0.0,2672,0.5000 0.5000 0.5000 0.5000 0.5000
within_kobbq,kobbq,signals+embedding+primary,"signals,embedding,primary",0.9994897959183674,0.001140851008928453,392,1.0000 1.0000 1.0000 0.9974 1.0000
within_kobbq,kobbq,signals+embedding,"signals,embedding",0.9994897959183674,0.001140851008928453,392,1.0000 1.0000 1.0000 0.9974 1.0000
within_kobbq,kobbq,embedding_only,embedding,0.9989795918367347,0.0013972514222070427,392,1.0000 1.0000 0.9974 0.9974 1.0000
within_kobbq,kobbq,signals_only,signals,0.6846938775510204,0.014720957190054618,392,0.6607 0.6862 0.6939 0.6837 0.6990
within_kobbq,kobbq,primary_only,primary,0.7127551020408163,0.01231379427157872,392,0.7092 0.7041 0.7321 0.7015 0.7168
within_kobbq,kobbq,category_only,category,0.5,0.0,392,0.5000 0.5000 0.5000 0.5000 0.5000
