seed,variant,signals_kept,best_val_loss,best_epoch,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate,thresholds
42,all_zero_moe,<none>,0.5841153515946298,20,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
42,s3_only_moe,s3_confidence,0.5553694413531394,15,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
42,core4_s1346_moe,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.3554697341862179,20,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
123,all_zero_moe,<none>,0.6638323260205132,10,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
123,s3_only_moe,s3_confidence,0.575915719072024,10,1328,664,664,0.9984939759036144,0.8810240963855421,1.0,0.029032258064516148,0.06626506024096386,0.0,"{""ambig"": 0.95, ""default"": 0.5, ""disambig"": 0.0}"
123,core4_s1346_moe,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.41022353282287005,15,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0,"{""ambig"": 0.975, ""default"": 0.5, ""disambig"": 0.0}"
456,all_zero_moe,<none>,0.6347277501509303,15,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
456,s3_only_moe,s3_confidence,0.5704302447182792,15,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
456,core4_s1346_moe,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.418850080065784,15,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0,"{""ambig"": 0.975, ""default"": 0.5, ""disambig"": 0.0}"
789,all_zero_moe,<none>,0.7087426270757403,10,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
789,s3_only_moe,s3_confidence,0.6265714310464405,10,1328,664,664,0.9969879518072289,0.8900602409638554,0.0,0.016181229773462702,0.06927710843373494,0.0,"{""ambig"": 0.975, ""default"": 0.5, ""disambig"": 0.0}"
789,core4_s1346_moe,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.48564377710932777,20,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
999,all_zero_moe,<none>,0.6385790201879683,10,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
999,s3_only_moe,s3_confidence,0.5356523029151417,10,1328,664,664,0.9969879518072289,0.8734939759036144,-1.0,0.08346972176759415,0.07981927710843373,0.0,"{""ambig"": 0.95, ""default"": 0.5, ""disambig"": 0.0}"
999,core4_s1346_moe,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.40630323510794414,15,1328,664,664,0.9939759036144579,0.8734939759036144,0.0,0.08346972176759415,0.07981927710843373,0.0,"{""ambig"": 0.95, ""default"": 0.5, ""disambig"": 0.0}"
