seed,frac,cond_amb,cond_dis,cond_far,hyb_amb,hyb_dis,hyb_far,conf_t,tau_r,n_lab
42,0.01,0.8524096385542169,0.7394578313253012,0.22590361445783133,0.9382530120481928,0.8418674698795181,0.12650602409638553,0.95,0.3,62
42,0.05,0.9623493975903614,0.7891566265060241,0.17319277108433734,0.9668674698795181,0.838855421686747,0.12048192771084337,0.9,0.175,310
42,0.1,0.9804216867469879,0.8192771084337349,0.13704819277108435,0.9849397590361446,0.8599397590361446,0.09939759036144578,0.95,0.275,621
123,0.01,0.8629518072289156,0.7349397590361446,0.22289156626506024,0.9367469879518072,0.8418674698795181,0.11596385542168675,0.95,0.5,62
123,0.05,0.9653614457831325,0.8117469879518072,0.14156626506024098,0.9743975903614458,0.8554216867469879,0.10090361445783133,0.9,0.475,310
123,0.1,0.9864457831325302,0.8509036144578314,0.09789156626506024,0.9819277108433735,0.875,0.07228915662650602,0.75,0.05,621
456,0.01,0.8900602409638554,0.5557228915662651,0.4066265060240964,0.9487951807228916,0.7710843373493976,0.1897590361445783,0.95,0.325,62
456,0.05,0.9292168674698795,0.8012048192771084,0.14759036144578314,0.9548192771084337,0.8283132530120482,0.11596385542168675,0.8,0.275,310
456,0.1,0.9879518072289156,0.8358433734939759,0.10692771084337349,0.983433734939759,0.858433734939759,0.08433734939759036,0.8,0.15,621
789,0.01,0.858433734939759,0.697289156626506,0.27259036144578314,0.9503012048192772,0.8358433734939759,0.13253012048192772,0.95,0.375,62
789,0.05,0.9442771084337349,0.8192771084337349,0.14457831325301204,0.9774096385542169,0.8539156626506024,0.10993975903614457,0.9,0.5,310
789,0.1,0.9759036144578314,0.8539156626506024,0.10993975903614457,0.9849397590361446,0.8765060240963856,0.09036144578313253,0.9,0.4,621
999,0.01,0.8945783132530121,0.6430722891566265,0.3207831325301205,0.9382530120481928,0.7996987951807228,0.17018072289156627,0.9,0.15,62
999,0.05,0.9623493975903614,0.7981927710843374,0.16114457831325302,0.9728915662650602,0.8373493975903614,0.12349397590361445,0.85,0.125,310
999,0.1,0.9743975903614458,0.8298192771084337,0.12650602409638553,0.983433734939759,0.8614457831325302,0.09789156626506024,0.85,0.325,621
