category,Expert 1,Expert 2,Expert 3,Expert 4
Age,0.19220430192848045,0.18657363200560212,0.24487756141771874,0.3763445060281083
Disability_status,0.2137784755571435,0.19775325944647193,0.23562424910565216,0.35284401604905724
Gender_identity,0.20604139940502744,0.23157729941420258,0.2544482451180617,0.3079330603390311
Nationality,0.25906903778513274,0.2485552528128028,0.24636754023532073,0.24600817037746311
Physical_appearance,0.21636944465339183,0.22779619024445613,0.2578127057105303,0.2980216592860719
Race_ethnicity,0.2449835105954359,0.27467956346149247,0.23389685737589996,0.2464400640510333
Race_x_SES,0.2653065619120995,0.2825573368246357,0.24756822312871615,0.20456787776512406
Race_x_gender,0.2076074548376103,0.23507143871237834,0.268343973805507,0.28897713327780367
Religion,0.26008123719443876,0.2789481393372019,0.2362797562032938,0.22469086454560358
SES,0.21243321283099553,0.23061692459819216,0.258897372931242,0.2980524903008093
Sexual_orientation,0.3120938970024387,0.3030501879130801,0.227057852546374,0.15779805716942064
