seed,system,feature_mode,condition_accuracy,tau_mean,tau_min,tau_max,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,uniform_threshold_0_50,"signals,embedding,category,primary",0.9969879518072289,0.5,0.5,0.5,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0
42,category_aware_condition_threshold,"signals,embedding,category,primary",0.9887048192771084,0.07777777777777778,0.05,0.15,1328,664,664,0.9924698795180723,0.8780120481927711,0.6000000000000001,0.08169934640522869,0.0783132530120482,0.0
123,uniform_threshold_0_50,"signals,embedding,category,primary",0.9977409638554217,0.5,0.5,0.5,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0
123,category_aware_condition_threshold,"signals,embedding,category,primary",0.9917168674698795,0.10555555555555556,0.05,0.3,1328,664,664,0.9954819277108434,0.8825301204819277,-0.33333333333333337,0.027375201288244666,0.06475903614457831,0.0
456,uniform_threshold_0_50,"signals,embedding,category,primary",0.9984939759036144,0.5,0.5,0.5,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0
456,category_aware_condition_threshold,"signals,embedding,category,primary",0.9969879518072289,0.12777777777777777,0.05,0.35,1328,664,664,0.9969879518072289,0.8734939759036144,1.0,0.04684975767366728,0.0677710843373494,0.0
789,uniform_threshold_0_50,"signals,embedding,category,primary",0.9984939759036144,0.5,0.5,0.5,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
789,category_aware_condition_threshold,"signals,embedding,category,primary",0.9947289156626506,0.1111111111111111,0.05,0.25,1328,664,664,0.9954819277108434,0.891566265060241,1.0,0.01453957996768973,0.0677710843373494,0.0
999,uniform_threshold_0_50,"signals,embedding,category,primary",1.0,0.5,0.5,0.5,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0
999,category_aware_condition_threshold,"signals,embedding,category,primary",0.9917168674698795,0.11666666666666667,0.05,0.3,1328,664,664,0.9924698795180723,0.8734939759036144,0.6000000000000001,0.08346972176759415,0.07981927710843373,0.0
