system_target,n_seeds,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std,selective_risk_mean,selective_risk_std,coverage_mean,coverage_std,tau_mean,tau_std
chosen_softmax_risk_control@0.05,5,0.9792168674698796,0.014999879033721351,0.38915662650602406,0.22220516665126114,0.6096385542168675,0.22304516849995729,0.04085848968262118,0.02674968475472951,0.22590361445783133,0.13199100540588485,0.986,0.01140175425099139
chosen_softmax_risk_control@0.10,5,0.9337349397590362,0.007222637836314369,0.6295180722891566,0.023836132215880098,0.3650602409638554,0.02462245769898563,0.09480471804812582,0.004631736177547895,0.4346385542168675,0.023695364076231924,0.914,0.01140175425099139
chosen_softmax_risk_control@0.15,5,0.8403614457831325,0.014247656572608815,0.7614457831325301,0.015195178621240292,0.22710843373493975,0.014539178778490562,0.15051867757923135,0.006903289820163336,0.645933734939759,0.018145871787845335,0.736,0.01341640786499875
chosen_softmax_risk_control@0.20,5,0.7533132530120482,0.016648209163175286,0.8120481927710843,0.010670475652962889,0.16716867469879518,0.008973174162509779,0.19909251998644398,0.008470449637115726,0.7706325301204819,0.01181773183590624,0.608,0.010954451150103331
max_softmax_risk_control@0.05,5,0.9792168674698796,0.014999879033721351,0.38915662650602406,0.22220516665126114,0.6096385542168675,0.22304516849995729,0.04085848968262118,0.02674968475472951,0.22590361445783133,0.13199100540588485,0.986,0.01140175425099139
max_softmax_risk_control@0.10,5,0.9337349397590362,0.007222637836314369,0.6295180722891566,0.023836132215880098,0.3650602409638554,0.02462245769898563,0.09480471804812582,0.004631736177547895,0.4346385542168675,0.023695364076231924,0.914,0.01140175425099139
max_softmax_risk_control@0.15,5,0.8403614457831325,0.014247656572608815,0.7614457831325301,0.015195178621240292,0.22710843373493975,0.014539178778490562,0.15051867757923135,0.006903289820163336,0.645933734939759,0.018145871787845335,0.736,0.01341640786499875
max_softmax_risk_control@0.20,5,0.7533132530120482,0.016648209163175286,0.8120481927710843,0.010670475652962889,0.16716867469879518,0.008973174162509779,0.19909251998644398,0.008470449637115726,0.7706325301204819,0.01181773183590624,0.608,0.010954451150103331
unknown_inverse_risk_control@0.05,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
unknown_inverse_risk_control@0.10,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
unknown_inverse_risk_control@0.15,5,0.9207831325301205,0.022429143603772843,0.6126506024096385,0.03660289247522141,0.37710843373493974,0.036294868268414646,0.126036671624439,0.022872709427514525,0.3510542168674699,0.028897419885419846,0.984,0.005477225575051666
unknown_inverse_risk_control@0.20,5,0.8439759036144578,0.01216994207881741,0.7078313253012049,0.02185032850684774,0.27259036144578314,0.021953885146254893,0.19856130363325852,0.009788590051104953,0.44171686746987954,0.016800777144029503,0.936,0.008944271909999111
