seed,system,label_fraction,train_n,condition_accuracy,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,single_prompt_embedding_condition_only,0.01,70,0.7507530120481928,1328,664,664,0.858433734939759,0.6656626506024096,0.4042553191489362,0.051724137931034475,0.30120481927710846,0.0
42,single_prompt_embedding_condition_only,0.05,318,0.9314759036144579,1328,664,664,0.9759036144578314,0.8012048192771084,0.5,0.1007194244604317,0.16265060240963855,0.0
42,single_prompt_embedding_condition_only,0.1,620,0.9420180722891566,1328,664,664,0.9819277108433735,0.8162650602409639,0.0,0.0736842105263158,0.14156626506024098,0.0
42,single_prompt_embedding_condition_only,1.0,6208,0.9924698795180723,1328,664,664,1.0,0.8704819277108434,,0.07413509060955525,0.0858433734939759,0.0
123,single_prompt_embedding_condition_only,0.01,70,0.7552710843373494,1328,664,664,0.8990963855421686,0.6746987951807228,0.5223880597014925,-0.010752688172043001,0.2996987951807229,0.0
123,single_prompt_embedding_condition_only,0.05,318,0.9307228915662651,1328,664,664,0.9713855421686747,0.8313253012048193,0.5789473684210527,0.012006861063464935,0.12198795180722892,0.0
123,single_prompt_embedding_condition_only,0.1,620,0.9420180722891566,1328,664,664,0.983433734939759,0.8373493975903614,0.09090909090909083,0.017006802721088343,0.1144578313253012,0.0
123,single_prompt_embedding_condition_only,1.0,6208,0.9954819277108434,1328,664,664,0.9984939759036144,0.8810240963855421,-1.0,0.029032258064516148,0.06626506024096386,0.0
456,single_prompt_embedding_condition_only,0.01,70,0.7462349397590361,1328,664,664,0.8930722891566265,0.6219879518072289,0.43661971830985924,0.04977375565610864,0.33433734939759036,0.0
456,single_prompt_embedding_condition_only,0.05,318,0.9164156626506024,1328,664,664,0.9563253012048193,0.7921686746987951,0.3793103448275863,0.051327433628318486,0.14909638554216867,0.0
456,single_prompt_embedding_condition_only,0.1,620,0.9646084337349398,1328,664,664,0.9894578313253012,0.8313253012048193,0.7142857142857142,0.05263157894736836,0.11295180722891567,0.0
456,single_prompt_embedding_condition_only,1.0,6208,0.9984939759036144,1328,664,664,1.0,0.8719879518072289,,0.04854368932038833,0.06927710843373494,0.0
789,single_prompt_embedding_condition_only,0.01,70,0.7070783132530121,1328,664,664,0.891566265060241,0.5768072289156626,0.11111111111111116,-0.02010050251256279,0.4006024096385542,0.0
789,single_prompt_embedding_condition_only,0.05,318,0.8998493975903614,1328,664,664,0.9518072289156626,0.7996987951807228,0.3125,-0.0072202166064981865,0.16566265060240964,0.0
789,single_prompt_embedding_condition_only,0.1,620,0.9548192771084337,1328,664,664,0.9728915662650602,0.858433734939759,0.4444444444444444,0.018487394957983128,0.10391566265060241,0.0
789,single_prompt_embedding_condition_only,1.0,6208,0.9977409638554217,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
999,single_prompt_embedding_condition_only,0.01,70,0.7545180722891566,1328,664,664,0.8810240963855421,0.6596385542168675,0.240506329113924,0.08893709327548804,0.3057228915662651,0.0
999,single_prompt_embedding_condition_only,0.05,318,0.9171686746987951,1328,664,664,0.9578313253012049,0.8177710843373494,0.4285714285714286,0.09473684210526323,0.14156626506024098,0.0
999,single_prompt_embedding_condition_only,0.1,620,0.9495481927710844,1328,664,664,0.9819277108433735,0.8328313253012049,0.0,0.0843373493975903,0.125,0.0
999,single_prompt_embedding_condition_only,1.0,6208,0.9962349397590361,1328,664,664,0.9984939759036144,0.8734939759036144,1.0,0.08346972176759415,0.07981927710843373,0.0
